Ticker,Company,Tweet,RoundDate,RoundTime,ID,Open,Close,PctChange,Sentiment,,,,,,,
WHR,whirlpool,rt @whitehouse: live: president @realdonaldtrump delivers remarks at whirlpool corporation manufacturing plant https://t.co/2vc0eyoqok,8/6/20,9:30,1.29146E+18,173.0599976,169.6346436,-0.02,Negative,,,,,,,
WFC,wells fargo,"“if the fed backs off and starts talking a little more dovish, i think we’re going to be right back to our 2,800 to 2,900 target range that we’ve had for the s&amp,p 500.” scott wren, wells fargo.",10/30/18,12:53,1.05725E+18,52.45000076,48.30751038,-0.08,Positive,,,,,,,
WFC,wells fargo,"fines and penalties against wells fargo bank for their bad acts against their customers and others will not be dropped, as has incorrectly been reported, but will be pursued and, if anything, substantially increased. i will cut regs but make penalties severe when caught cheating!",12/8/17,15:18,9.39152E+17,59.31000137,53.26081085,-0.10,Negative,,,,,,,
WMT,walmart,rt @ivankatrump: thank you @walmartinc for taking extraordinary measures to support american workers. you are a shining example of american…,3/23/20,12:46,1.24207E+18,114.1699982,113.313652,-0.01,Negative,,,,,,,
WMT,walmart,walmart announces great numbers. no impact from tariffs (which are contributing $billions to our treasury). inflation low (do you hear that powell?)!,11/14/19,14:32,1.19499E+18,124.5999985,118.5709457,-0.05,Positive,,,,,,,
WMT,walmart,"walmart, a great indicator as to how the u.s. is doing, just released outstanding numbers. our country, unlike others, is doing great! don’t let the fake news convince you otherwise.",8/15/19,9:30,1.1621E+18,112.5299988,110.7481232,-0.02,Positive,,,,,,,
UNH,unitedhealth,"rt @seemacms: thanks, @unitedhealthgrp, for helping ensure your communities have coverage for the #covid19 testing and treatment they need.",3/12/20,13:51,1.2381E+18,260,247.2419739,-0.05,Negative,,,,,,,
UDR,udr,rt @michaelcoudrey: good morning to everyone except judge sullivan and the corrupt fbi agents that tried to prosecute general flynn under f…,9/25/20,14:11,1.3095E+18,31.77000046,32.07862854,0.01,Negative,,,,,,,
UDR,udr,rt @michaelcoudrey: new data: a french study has demonstrated evidence that the combination of hydroxychloroquine &amp; azithromycin are highly…,3/23/20,9:30,1.2414E+18,31.95999908,29.14339066,-0.09,Positive,,,,,,,
UDR,udr,"rt @michaelcoudrey: everyone who thinks coronavirus is harmless or doesn’t matter should rethink that opinion immediately.

this is an extr…",3/23/20,9:30,1.2414E+18,31.95999908,29.14339066,-0.09,Positive,,,,,,,
UDR,udr,thank you audrey! https://t.co/2bhovvov6r,3/6/20,9:30,1.23577E+18,47.58000183,46.86808395,-0.02,Positive,,,,,,,
UDR,udr,"i want to thank the @vfwhq for your devotion to our fallen heroes, unknown soldiers, prisoners of war, those missing in action, and their families. #vfwconvention https://t.co/15ygfhcudr",7/24/18,9:30,1.02184E+18,36.68999863,33.87242889,-0.08,Positive,,,,,,,
TPR,tapestry,"the heroes who rest in these hallowed fields, in cemeteries, battlefields, and burial grounds near and far are drawn the full tapestry of american life. they came from every generation from towering cities and wind swept prairies, from privilege and from poverty... https://t.co/aow3qwn2sv",5/28/18,9:30,1.00115E+18,43.91999817,40.12939835,-0.09,Positive,,,,,,,
SBUX,starbucks,"howard schultz doesn’t have the “guts” to run for president! watched him on @60minutes last night and i agree with him that he is not the “smartest person.” besides, america already has that! i only hope that starbucks is still paying me their rent in trump tower!",1/28/19,13:41,1.08988E+18,66.19000244,64.33998108,-0.03,Positive,,,,,,,
LUV,southwest airlines,"today, it was my great honor to thank and welcome heroic crew members and passengers of southwest airlines flight 1380 at the @whitehouse! https://t.co/fyygwtoddi",5/1/18,9:30,9.91403E+17,52.79999924,51.5786171,-0.02,Positive,,,,,,,
SRE,sempra energy,"with incredible grit, skill, and pride, the 7,000 workers here at sempra energy are helping lead the american energy revolution. they are not only making our nation wealthier but they are making america safer by building a future of american energy independence! https://t.co/hqn9weixo9",5/14/19,9:30,1.12841E+18,129.7599945,123.2318344,-0.05,Negative,,,,,,,
RCL,royal caribbean,"rt @realdonaldtrump: at my request, effective midnight tonight, carnival, royal caribbean, norwegian, and msc have all agreed to suspend ou…",3/16/20,9:30,1.2392E+18,29.89999962,29.94000053,0.00,Positive,,,,,,,
RCL,royal caribbean,"at my request, effective midnight tonight, carnival, royal caribbean, norwegian, and msc have all agreed to suspend outbound cruises for thirty days. it is a great and important industry – it will be kept that way!",3/13/20,9:30,1.23859E+18,37.00999832,32.33000183,-0.13,Positive,,,,,,,
ROL,rollins,"rt @edrollins: joe biden now claims he opposes defunding the police.

here’s a list of issues he’s flip-flopped on:

abortion

immigration…",6/9/20,12:31,1.27033E+18,44.18999863,43.29069138,-0.02,Negative,,,,,,,
ROL,rollins,rt @loudobbs: republicans united: @edrollins @david_bossie praise the senate gop for voting down schumer’s amendments 53-47. #americafirst…,1/22/20,13:06,1.21997E+18,36.04000092,35.72818756,-0.01,Negative,,,,,,,
ROL,rollins,“i think it’s outrages that a whistleblower is a cia agent.”  ed rollins @foxnews,10/4/19,14:12,1.18012E+18,34.13999939,34.07957077,0.00,Negative,,,,,,,
ROL,rollins,"“when someone gets nominated overwhelmingly, and then wins the election, as he did, then he gets to set the national agenda. the press is just outrages. this @nytimes story is the most irresponsible thing i’ve ever seen.” @edrollins @loudobbs  i agree. they also lose too much!",9/23/19,9:30,1.17556E+18,34.52999878,33.70376587,-0.02,Negative,,,,,,,
ROL,rollins,“nancy pelosi should not be out there doing the kinds of things she is doing. she will diminish herself and her membership. she cannot put a subject with a predicate in the same sentence. what’s going on?”  ed rollins  @greggjarrett  @loudobbs,5/24/19,9:30,1.13172E+18,37.11999893,36.50367355,-0.02,Negative,,,,,,,
ROL,rollins,"....president who is willing to have the battle, and we have a great attorney general who is willing to lead the battle, and they are going to get to the bottom of it.” @edrollins  @loudobbs",5/13/19,9:30,1.12752E+18,35.88999939,35.19258499,-0.02,Positive,,,,,,,
ROL,rollins,"“the story of puerto rico is the rebuilding that has occurred. the president has done an extraordinary job of cleanup, rebuilding electrical stuff and everything else.”  @edrollins   “the people of puerto rico have one of the most corrupt governments in our country.” @loudobbs",9/17/18,9:30,1.04076E+18,42.29999924,41.24526596,-0.02,Positive,,,,,,,
ROL,rollins,"“president trump has something now he didn’t have a year ago, that is a set of accomplishments that nobody can deny. the accomplishments are there, look at his record, he has had a very significant first year.” @loudobbs show,david asman &amp, ed rollins",1/3/18,9:30,9.48404E+17,30.96666718,30.05596733,-0.03,Positive,,,,,,,
QCOM,qualcomm,rt @dailycaller: doj asks courts to lighten up on qualcomm as it battles china for 5g supremacy https://t.co/6cempawjzf,5/6/19,9:30,1.12485E+18,86.33000183,84.3072052,-0.02,Positive,,,,,,,
PVH,pvh,https://t.co/x8os4npvhh,10/27/20,9:30,1.32115E+18,62.13999939,60.99000168,-0.02,Negative,,,,,,,
PVH,pvh,"chris had a tough night. two on one was not surprising, but  fun. many important points made, like throwing bernie, aoc plus 3, and the rest, to the wolves! radical left is dumping sleepy joe. zero democrat enthusiasm, weak leadership! https://t.co/bgbpvhau3m",9/30/20,13:17,1.31129E+18,58.97999954,59.63999939,0.01,Negative,,,,,,,
PFE,pfizer,"rt @pfizer: we now have more than 25,000 participants dosed in our #covid19 vaccine clinical trial.  learn more about our progress in devel…",9/8/20,9:30,1.3034E+18,34.65844345,33.74217606,-0.03,Positive,,,,,,,
PFE,pfizer,"rt @whitehouse: ""today, my administration reached a historic agreement with pfizer, to produce and deliver 100 million doses of their vacci…",7/22/20,9:30,1.28607E+18,36.27134705,35.8615303,-0.01,Positive,,,,,,,
PFE,pfizer,"thank you to novartis for not increasing your prices on prescription drugs. likewise to pfizer. we are making a big push to actually reduce the prices, maybe substantially, on prescription drugs.",7/19/18,10:23,1.01989E+18,35.53131104,32.30907822,-0.09,Positive,,,,,,,
PFE,pfizer,"just talked with pfizer ceo and @secazar on our drug pricing blueprint. pfizer is rolling back price hikes, so american patients don’t pay more. we applaud pfizer for this decision and hope other companies do the same. great news for the american people!",7/10/18,9:30,1.01681E+18,35.38899612,32.36961746,-0.09,Positive,,,,,,,
PFE,pfizer,"pfizer &amp, others should be ashamed that they have raised drug prices for no reason. they are merely taking advantage of the poor &amp, others unable to defend themselves, while at the same time giving bargain basement prices to other countries in europe &amp, elsewhere. we will respond!",7/9/18,9:30,1.01637E+18,35.36053085,32.13612747,-0.09,Negative,,,,,,,
PFE,pfizer,"billions of dollars in investments &amp, thousands of new jobs in america! an initiative via corning, merck &amp, pfizer: https://t.co/qnen48bsiq https://t.co/5vtmfuy3pm",7/21/17,9:30,8.8824E+17,31.75521851,27.88093376,-0.12,Positive,,,,,,,
PEP,pepsico,"rt @secretarysonny: 🚨🚨🚨we've partnered with @baylorcohp, mclane global &amp; @pepsico to provide 1 million meals per week to rural children in…",3/17/20,9:30,1.23999E+18,116.6999969,125.831459,0.08,Negative,,,,,,,
NVR,nvr,"thank you macon, georgia!
https://t.co/jjnvrvgqwy",10/19/20,9:30,1.31727E+18,4384.669922,4251.180176,-0.03,Positive,,,,,,,
NVR,nvr,rt @nvr4get91101: @realdonaldtrump @potus https://t.co/wp3pkeibhu,4/22/20,14:18,1.25296E+18,2874.449951,2847.600098,-0.01,Negative,,,,,,,
NVR,nvr,beautiful afternoon in the oval office today with a few great american heroes! https://t.co/hyei83nvrm,4/11/19,9:30,1.11645E+18,2926.590088,2944.25,0.01,Positive,,,,,,,
NVR,nvr,"was just briefed via phone by @dhsgov @secnielsen and @fema @fema_brock, along with @vp mike pence and chief of staff, john kelly on incoming storm which is very dangerous. heed the directions of your state and local officials - and know that we are here for you. be safe! https://t.co/sn8d5nvrba",9/10/18,9:30,1.03927E+18,2615.600098,2591.659912,-0.01,Negative,,,,,,,
NKE,nike,rt @usatoday: mitch mcconnell argues dem's 'moscow mitch' moniker is 'modern-day mccarthyism' https://t.co/1laymij6iw https://t.co/1ywxdl3b...,7/30/19,9:30,1.15624E+18,86.81999969,86.10293579,-0.01,Positive,,,,,,,
NKE,nike,rt @byronyork: attention nike: the flag colin kaepernick told you was unacceptable on your shoes was displayed rather prominently at barack...,7/5/19,9:30,1.14699E+18,85.80000305,85.72771454,0.00,Positive,,,,,,,
NKE,nike,what was nike thinking?,9/7/18,10:56,1.03802E+18,80.01000214,78.63336182,-0.02,Negative,,,,,,,
NKE,nike,"just like the nfl, whose ratings have gone way down, nike is getting absolutely killed with anger and boycotts. i wonder if they had any idea that it would be this way? as far as the nfl is concerned, i just find it hard to watch, and always will, until they stand for the flag!",9/5/18,13:39,1.03733E+18,79.65000153,78.26123047,-0.02,Negative,,,,,,,
NFLX,netflix,"rt @bucksexton: between the waco series on netflix and now the dismissal of the case against flynn, not exactly a strong moment in time for…",5/11/20,9:30,1.25949E+18,436.3299866,440.519989,0.01,Negative,,,,,,,
NFLX,netflix,"....for the privilege of being your president - and doing the best job that has been done in many decades. i am far beyond somebody paying for a hotel room for the evening, or filling up a gas tank at an airport i do not own. these radical left democrats are crazy! obama netflix?",9/16/19,14:01,1.1736E+18,294.230011,294.2900085,0.00,Negative,,,,,,,
NFLX,netflix,"....work that way. i have a better idea. look at the obama book deal, or the ridiculous netflix deal. then look at all the deals made by the dems in congress, the “congressional slush fund,” and lastly the ig reports. take a look at them. those investigations would be over fast!",9/16/19,11:03,1.17355E+18,294.230011,294.2900085,0.00,Negative,,,,,,,
NDAQ,nasdaq,"....my administration and i built the greatest economy in history, of any country, turned it off, saved millions of lives, and now am building an even greater economy than it was before. jobs are flowing, nasdaq is already at a record high, the rest to follow. sit back &amp; watch!",8/18/20,11:00,1.29568E+18,130.2899933,129.5567322,-0.01,Positive,,,,,,,
NDAQ,nasdaq,new record for nasdaq!,8/17/20,9:30,1.29546E+18,129.3800049,129.8157501,0.00,Positive,,,,,,,
NDAQ,nasdaq,"record high nasdaq! it would all come crashing down, including your jobs, stocks, and 401k’s, if sleepy joe ever became president. china and others would own us!!!",8/3/20,13:49,1.29028E+18,131.8399963,129.8556061,-0.02,Positive,,,,,,,
NDAQ,nasdaq,"economy and jobs are growing much faster than anyone (except me!) expected. job growth is biggest in history. china virus mortality rate is among the lowest of any country. shaping up for a good third quarter, and a great next year! nasdaq at new record high, 401k’s way up!!!!",7/8/20,13:50,1.28086E+18,120.9499969,121.2384033,0.00,Positive,,,,,,,
NDAQ,nasdaq,nasdaq hits all time high!,7/6/20,13:39,1.28013E+18,121.4899979,120.6207581,-0.01,Positive,,,,,,,
NDAQ,nasdaq,"if you want your 401k’s  and stocks, which are getting close to an all time high (nasdaq is already there), to disintegrate and disappear, vote for the radical left do nothing democrats and corrupt joe biden. massive tax hikes - they will make you very poor, fast!",7/6/20,12:26,1.28012E+18,121.4899979,120.6207581,-0.01,Positive,,,,,,,
NDAQ,nasdaq,"nasdaq had its 23rd record close of the year. other exchanges are following closely behind. tremendous potential remaining. big months upcoming. next year, depending on an election win, will be one of the best ever! @loudobbs",7/3/20,12:12,1.27903E+18,121.4899979,120.6207581,-0.01,Positive,,,,,,,
NDAQ,nasdaq,rt @erictrump: amazing quarter for the markets!!! the dow has the best quarter in 33 years (up 17.77%). likewise the nasdaq is up 30.63% in…,7/1/20,9:30,1.27813E+18,119.5999985,120.3019714,0.01,Positive,,,,,,,
NDAQ,nasdaq,"nasdaq hits all-time high. tremendous progress being made, way ahead of schedule. usa!",6/10/20,12:49,1.2707E+18,119.5699997,119.0666809,0.00,Positive,,,,,,,
NDAQ,nasdaq,nasdaq hits all-time high!,6/9/20,12:30,1.27033E+18,120.3600006,119.1460419,-0.01,Positive,,,,,,,
NDAQ,nasdaq,"rt @trumpwarroom: americans' retirement savings are winning big under president trump!the nasdaq just hit 9,000 for the first time in his...",12/27/19,9:30,1.21035E+18,107.9199982,106.6341476,-0.01,Negative,,,,,,,
NDAQ,nasdaq,"“nasdaq hits 9,000 for first time ever” https://t.co/7gyomv32zy",12/26/19,9:30,1.21031E+18,106.7799988,106.4366608,0.00,Positive,,,,,,,
NDAQ,nasdaq,nasdaq up 72.2% since our great 2016 election victory! dow up 55.8%. the best is yet to come!,12/23/19,9:30,1.20926E+18,107.6299973,105.8244324,-0.02,Positive,,,,,,,
NDAQ,nasdaq,"stock markets up record numbers. for this year alone, dow up 18.65%, s&amp,p up 24.36%, nasdaq composite up 29.17%. “it’s the economy, stupid.”",12/6/19,13:16,1.20294E+18,105.0199966,103.4387207,-0.02,Positive,,,,,,,
NDAQ,nasdaq,"rt @realdonaldtrump: “dow, nasdaq, s&amp,p 500 close at record highs” https://t.co/q8iuuuugjb",11/26/19,9:30,1.19919E+18,104.8099976,103.0455246,-0.02,Positive,,,,,,,
NDAQ,nasdaq,"“dow, nasdaq, s&amp,p 500 close at record highs” https://t.co/q8iuuuugjb",11/25/19,9:30,1.19909E+18,104.7900009,102.858757,-0.02,Positive,,,,,,,
NDAQ,nasdaq,nasdaq up 27% this year alone!,11/19/19,14:03,1.19679E+18,104.8000031,103.2814331,-0.01,Positive,,,,,,,
NDAQ,nasdaq,"stock market up big! record highs for s&amp,p 500 and nasdaq. enjoy!",11/1/19,14:08,1.19027E+18,100.4599991,97.54085541,-0.03,Positive,,,,,,,
NDAQ,nasdaq,"the dow, s&amp,p 500, and nasdaq all close the week at a new record high! https://t.co/wpjim8n7m2",7/12/19,9:30,1.14981E+18,104.2300034,102.0141754,-0.02,Positive,,,,,,,
NDAQ,nasdaq,rt @realdonaldtrump: since my election as president the dow jones is up 43% and the nasdaq composite almost 50%. great news for your 401(k)...,3/4/19,9:30,1.10186E+18,92.16999817,87.30293274,-0.05,Positive,,,,,,,
NDAQ,nasdaq,since my election as president the dow jones is up 43% and the nasdaq composite almost 50%. great news for your 401(k)s as they continue to grow. we are bringing back america faster than anyone thought possible!,2/25/19,15:12,1.10005E+18,89.41999817,87.29324341,-0.02,Positive,,,,,,,
NDAQ,nasdaq,nasdaq has just gone above 8000 for the first time in history!,8/28/18,9:57,1.03438E+18,95.16999817,91.19289398,-0.04,Positive,,,,,,,
NDAQ,nasdaq,"dow, s&amp,p 500 and nasdaq close at record highs! #maga https://t.co/hvqwnqsgug",12/18/17,9:30,9.4182E+17,77.84999847,73.13613129,-0.06,Positive,,,,,,,
NDAQ,nasdaq,"dow, s&amp,p 500 and nasdaq all finished the day at new record highs! https://t.co/wjyb9d00hh",11/28/17,9:30,9.35637E+17,77.44999695,74.07621002,-0.04,Positive,,,,,,,
NDAQ,nasdaq,"rt @scavino45: under potus' @realdonaldtrump ☑️s&amp,p 500 38th📈record high ☑️nasdaq 44th📈record high☑️#makeamericagreatagain🇺🇸 https://t.co...",10/2/17,9:30,9.1394E+17,77.66999817,73.55612946,-0.05,Negative,,,,,,,
NDAQ,nasdaq,"the #fakenews msm doesn't report the great economic news since election day. #dow up 16%. #nasdaq up 19.5%. drilling &amp, energy sector...",6/12/17,9:30,8.73878E+17,70.45999908,65.87785339,-0.07,Positive,,,,,,,
MSCI,msci,"rt @jimsciutto: tonight, there are hundreds of american families watching news of suleimani’s killing particularly closely. he engineered a...",1/3/20,12:15,1.21307E+18,262.2000122,258.6088562,-0.01,Negative,,,,,,,
MS,morgan stanley,"“we have greater confidence in our call for a v-shaped recovery, given recent upside surprises in growth data and policy action.” chetan ahya, chief economist at morgan stanley",6/15/20,9:30,1.27264E+18,44.65999985,46.7257309,0.05,Negative,,,,,,,
MRK,merck &,"billions of dollars in investments &amp, thousands of new jobs in america! an initiative via corning, merck &amp, pfizer: https://t.co/qnen48bsiq https://t.co/5vtmfuy3pm",7/21/17,9:30,8.8824E+17,62.79000092,56.88935089,-0.09,Positive,,,,,,,
MAS,masco,rt @tomascol: wow. @realdonaldtrump has ordered all federal agencies to “cease and desist” any government training programs that include an…,9/7/20,9:30,1.30223E+18,55.95999908,55.85972214,0.00,Positive,,,,,,,
LMT,lockheed martin,"....thank you to lockheed martin, one of the usa’s truly great companies!",7/11/19,9:30,1.14911E+18,368.1600037,354.7827759,-0.04,Negative,,,,,,,
LMT,lockheed martin,"i was just informed by marillyn hewson, ceo of lockheed martin, of her decision to keep the sikorsky helicopter plant in coatesville, pennsylvania, open and humming! we are very proud of pennsylvania and the people who work there....",7/11/19,9:30,1.14911E+18,368.1600037,354.7827759,-0.04,Positive,,,,,,,
LMT,lockheed martin,"rt @danscavino: “lockheed martin will add 400 workers to boost production of the f-35 fighter jet, the most expensive in u.s. history, afte...",7/24/18,11:01,1.02171E+18,325,302.4605408,-0.07,Positive,,,,,,,
LIN,linde,"rt @senjoniernst: with 225,000 jobs created last month alone, the u.s. economy is continuing to fire on all cylinders! https://t.co/t3q907w…",2/17/20,9:30,1.22881E+18,224.0399933,220.6284637,-0.02,Positive,,,,,,,
LIN,linde,"rt @trumpwarroom: ""the real problem is the democrats and nancy are so blinded by hate, hatred of donald trump, that they can’t even functio…",2/10/20,9:30,1.22654E+18,214.8899994,212.6244507,-0.01,Negative,,,,,,,
LIN,linde,"rt @trish_regan: #icymi #dems so blinded by hate for trump, they’re handing him the #2020 election! this week will go down in history as th…",1/27/20,9:30,1.22116E+18,205.2200012,202.2024384,-0.01,Positive,,,,,,,
LIN,linde,"""rt @dcexaminer: """"the collusion delusion fell flat."""" @repmarkmeadows suggests democrats are too blinded by hatred of @realdonaldtrump to l...""",4/25/19,13:31,1.12141E+18,176.2200012,171.607605,-0.03,Negative,,,,,,,
LIN,linde,"“there is no possible way the trump tower meeting between don trump jr and a couple of russians, who have very deep connections to both the clintons &amp, fusion gps, &amp, where no information on the clintons was exchanged, is a crime. dems are blinded by their hatred of trump.” bongino",9/3/18,9:30,1.03606E+18,157.8699951,150.4586029,-0.05,Negative,,,,,,,
LIN,linde,“fox news has learned that bruce ohr wrote christopher steele following the firing of james comey saying that he was afraid the anti-trump russia probe will be exposed.”  charles payne  @foxbusiness   how much more does mueller have to see? they have blinders on - rigged!,8/17/18,9:30,1.03058E+18,154.1600037,150.3237457,-0.02,Positive,,,,,,,
K,kellogg,"rt @alyssafarah: lt gen. keith kellogg, sec pompeo (army, retired), secdef esper (army), nsa robert o’brien (army), sec of va robert wilkie…",9/8/20,11:23,1.30329E+18,69,65.7443161,-0.05,Negative,,,,,,,
K,kellogg,rt @generalkellogg: the atlantic story is completely false. absolutely lacks merit. i’ve been by the president’s side. he has always shown…,9/7/20,9:30,1.30205E+18,69,65.7443161,-0.05,Positive,,,,,,,
K,kellogg,"rt @danscavino: 'trump as commander in chief, making the hard decisions' by ltg (ret) kellogg, a highly decorated vietnam war vet: https://...",9/5/17,12:07,9.0504E+17,65.48000336,59.18357468,-0.10,Positive,,,,,,,
K,kellogg,"general keith kellogg, who i have known for a long time, is very much in play for nsa - as are three others.",2/17/17,13:16,8.32579E+17,72.98999786,63.54415894,-0.13,Positive,,,,,,,
INTU,intuit,"“brazil will allow more american ethanol to enter the country without tariffs, a decision that brazilian mills are celebrating. the seemingly counter-intuitive reaction stems from the tone of ongoing negotiations between the south american nation and the u.s. for a...",9/3/19,9:30,1.16871E+18,285.3099976,281.4829102,-0.01,Positive,,,,,,,
INTU,intuit,"“brazil will allow more american ethanol to enter the country without tariffs, a decision that brazilian mills are celebrating. the seemingly counter-intuitive reaction stems from the tone of ongoing negotiations between the south american nation and the u.s. for a....",9/2/19,9:58,1.16864E+18,285.3099976,281.4829102,-0.01,Negative,,,,,,,
HUM,humana,rt @seemacms: thank you @humana for your dedication to public health and safety as we work to stop #covid19.,3/12/20,13:52,1.2381E+18,305.5299988,291.4894409,-0.05,Positive,,,,,,,
HUM,humana,"obamacare continues to fail. humana to pull out in 2018. will repeal, replace &amp, save healthcare for all americans. https://t.co/glweq0lnr4",2/14/17,9:30,8.31637E+17,207.4900055,200.5176392,-0.03,Positive,,,,,,,
HD,home depot,"great businessman &amp; philanthropist bernie marcus, co-founder of home depot, said that congress was too distracted by the (phony) impeachment witch hunt when they should have been investigating  coronavirus when it first appeared in china. media played a big roll also!@dcexaminer",4/13/20,9:30,1.24937E+18,200.4499969,196.57341,-0.02,Negative,,,,,,,
